Italian,English
il,the
di,of
e,and
a,to
un,a
che,that
in,in
è,is
per,for
una,a
con,with
non,not
da,from
su,on
si,yes/oneself
le,the
al,to the
lo,the
come,as/like
più,more
ma,but
anche,also
o,or
se,if
nel,in the
mi,me
ti,you
ci,us
gli,the
ne,of them
la,the
ho,I have
ha,has
sono,are
era,was
fare,to do/make
tutto,everything
quando,when
molto,very/much
c'è,there is
solo,only
stato,been/state
fare,to do
può,can
dire,to say
suo,his/her
più,more
già,already
dopo,after
tempo,time
noi,we
dove,where
anni,years
prima,before
senza,without
vita,life
cosa,thing
uomo,man
giorno,day
modo,way
mondo,world
casa,house
caso,case
parte,part
volta,time
sistema,system
lavoro,work
mano,hand
persona,person
vita,life
momento,moment
bisogno,need
tipo,type
capire,to understand
trovare,to find
pensare,to think
dire,to say
vedere,to see
dare,to give
andare,to go
venire,to come
sapere,to know
stare,to stay
dovere,must
potere,can
volere,to want
prendere,to take
mettere,to put
tenere,to keep
lasciare,to leave
parlare,to speak
arrivare,to arrive
credere,to believe
portare,to bring
succedere,to happen
restare,to remain
sembrare,to seem
sentire,to feel/hear
guardare,to look
vivere,to live
tornare,to return
passare,to pass
pensiero,thought
amico,friend
famiglia,family
bambino,child
donna,woman
paese,country
storia,story/history
città,city
legge,law
forza,strength
mente,mind
notte,night
occhio,eye
strada,street
acqua,water
padre,father
madre,mother
amore,love
ragione,reason
verità,truth
libertà,freedom
guerra,war
pace,peace
arte,art
scuola,school
politica,politics
economia,economy
lavorare,to work
studiare,to study
gioco,game
musica,music
film,movie
libro,book
soldi,money
idea,idea
problema,problem
soluzione,solution
domanda,question
risposta,answer
esempio,example
fine,end
inizio,beginning
mezzo,middle/means
fatto,fact
caso,case
grande,big
piccolo,small
nuovo,new
vecchio,old
buono,good
cattivo,bad
primo,first
ultimo,last
stesso,same
altro,other
vero,true
possibile,possible
diverso,different
importante,important
facile,easy
difficile,difficult
sempre,always
spesso,often
mai,never
qui,here
lì,there
oggi,today
domani,tomorrow
ieri,yesterday
subito,immediately
insieme,together
ancora,still
forse,maybe
infatti,in fact
quindi,therefore
perché,because
mentre,while
dunque,thus
allora,then
